"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"1276","0.599","0.0","0.604","0.0","98.73147529","0.054","0","0.0","interacts with","Sdc1 (interacts with) Sell","0","10090.ENSMUSP00000020911","10090.ENSMUSP00000027871","0","false","interacts with","Sdc1 (interacts with) Sell"
"1208","0.114","0.128","0.916","0.9","4.48571429","0.0","0","0.0","interacts with","Hbb-bs (interacts with) Lrg1","0","10090.ENSMUSP00000023934","10090.ENSMUSP00000038048","0","false","interacts with","Hbb-bs (interacts with) Lrg1"
"2786","0.06","0.0","0.901","0.9","25.75163972","0.0","0","0.0","interacts with","Cd47 (interacts with) Ptafr","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000070925","0","false","interacts with","Cd47 (interacts with) Ptafr"
"1275","0.719","0.0","0.719","0.0","57.43526343","0.0","0","0.0","interacts with","Sdc1 (interacts with) Spn","0","10090.ENSMUSP00000020911","10090.ENSMUSP00000049534","0","false","interacts with","Sdc1 (interacts with) Spn"
"1207","0.105","0.095","0.966","0.9","8.37805878","0.63","0","0.0","interacts with","Hbb-bs (interacts with) Hp","0","10090.ENSMUSP00000023934","10090.ENSMUSP00000074436","0","false","interacts with","Hbb-bs (interacts with) Hp"
"2785","0.0","0.0","0.9","0.9","37.50649563","0.0","0","0.0","interacts with","Cd47 (interacts with) Psg20","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000075973","0","false","interacts with","Cd47 (interacts with) Psg20"
"1274","0.702","0.0","0.93","0.9","84.05887902","0.154","0","0.694","interacts with","Sdc1 (interacts with) Sdc3","0","10090.ENSMUSP00000020911","10090.ENSMUSP00000065877","0","false","interacts with","Sdc1 (interacts with) Sdc3"
"2784","0.158","0.062","0.914","0.9","14.55262613","0.0","0","0.0","interacts with","Cd47 (interacts with) Fcer1g","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000078875","0","false","interacts with","Cd47 (interacts with) Fcer1g"
"850","0.155","0.094","0.692","0.0","152.3723733","0.63","0","0.0","interacts with","Hbb-bt (interacts with) Hp","0","10090.ENSMUSP00000095794","10090.ENSMUSP00000074436","0","false","interacts with","Hbb-bt (interacts with) Hp"
"2439","0.699","0.0","0.701","0.0","35.48525602","0.048","0","0.0","interacts with","Sell (interacts with) Serpinb9g","0","10090.ENSMUSP00000027871","10090.ENSMUSP00000080597","0","false","interacts with","Sell (interacts with) Serpinb9g"
"1176","0.253","0.551","0.657","0.0","49.34740494","0.06","0","0.0","interacts with","Hck (interacts with) Itgb2","0","10090.ENSMUSP00000003370","10090.ENSMUSP00000000299","0","false","interacts with","Hck (interacts with) Itgb2"
"2783","0.22","0.06","0.92","0.9","16.48569764","0.0","0","0.0","interacts with","Cd47 (interacts with) Cd59b","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000087912","0","false","interacts with","Cd47 (interacts with) Cd59b"
"2438","0.699","0.0","0.701","0.0","34.04355372","0.048","0","0.0","interacts with","Sell (interacts with) Serpinb9","0","10090.ENSMUSP00000027871","10090.ENSMUSP00000099002","0","false","interacts with","Sell (interacts with) Serpinb9"
"1175","0.21","0.47","0.593","0.0","51.80728398","0.105","0","0.0","interacts with","Hck (interacts with) Tlr2","0","10090.ENSMUSP00000003370","10090.ENSMUSP00000029623","0","false","interacts with","Hck (interacts with) Tlr2"
"2782","0.117","0.06","0.909","0.9","51.29814575","0.0","0","0.0","interacts with","Cd47 (interacts with) Fyb","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000087947","0","false","interacts with","Cd47 (interacts with) Fyb"
