"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"151912","69.19509712","interacts with","ENSMUSG00000034430 (interacts with) ENSMUSG00000030091","false","interacts with","ENSMUSG00000034430 (interacts with) ENSMUSG00000030091","0.0154227387217247"
"151918","64.76499024","interacts with","ENSMUSG00000001472 (interacts with) ENSMUSG00000034868","false","interacts with","ENSMUSG00000001472 (interacts with) ENSMUSG00000034868","0.0154219127666638"
"143730","72.91307611","interacts with","ENSMUSG00000068048 (interacts with) ENSMUSG00000001472","false","interacts with","ENSMUSG00000068048 (interacts with) ENSMUSG00000001472","0.0203642854963055"
"143727","24.46338601","interacts with","ENSMUSG00000040857 (interacts with) ENSMUSG00000031133","false","interacts with","ENSMUSG00000040857 (interacts with) ENSMUSG00000031133","0.0203651984845196"
"143728","89.07501862","interacts with","ENSMUSG00000053754 (interacts with) ENSMUSG00000025358","false","interacts with","ENSMUSG00000053754 (interacts with) ENSMUSG00000025358","0.0203647532936501"
"151925","51.61411136","interacts with","ENSMUSG00000035443 (interacts with) ENSMUSG00000072944","false","interacts with","ENSMUSG00000035443 (interacts with) ENSMUSG00000072944","0.0154165866849454"
"151924","27.35460678","interacts with","ENSMUSG00000031622 (interacts with) ENSMUSG00000025792","false","interacts with","ENSMUSG00000031622 (interacts with) ENSMUSG00000025792","0.0154166314694061"
"143737","38.2762215","interacts with","ENSMUSG00000025358 (interacts with) ENSMUSG00000079445","false","interacts with","ENSMUSG00000025358 (interacts with) ENSMUSG00000079445","0.020359871292122"
"151929","40.36039803","interacts with","ENSMUSG00000031622 (interacts with) ENSMUSG00000031819","false","interacts with","ENSMUSG00000031622 (interacts with) ENSMUSG00000031819","0.0154151275927198"
"143735","39.7149034","interacts with","ENSMUSG00000025764 (interacts with) ENSMUSG00000049916","false","interacts with","ENSMUSG00000025764 (interacts with) ENSMUSG00000049916","0.0203599692909324"
"151927","35.69397394","interacts with","ENSMUSG00000025358 (interacts with) ENSMUSG00000049916","false","interacts with","ENSMUSG00000025358 (interacts with) ENSMUSG00000049916","0.0154159987996342"
"151928","123.72383101","interacts with","ENSMUSG00000024953 (interacts with) ENSMUSG00000020282","false","interacts with","ENSMUSG00000024953 (interacts with) ENSMUSG00000020282","0.0154156485280902"
