"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"34444","6","2.84577114","0.21558756","0.3513986","0.11174242","33","7","false","Rhoc","6.57575758","33","0","0","0.83220262","false","0","Rhoc","38376","0.08391608"
"34447","6","3.16915423","0.04105274","0.3155416","0.18115942","24","8","false","Rhoj","7.33333333","24","0","0","0.80280416","false","0","Rhoj","10382","0.11282051"
"34450","6","3.06965174","0.09439741","0.32576985","0.15692308","26","8","false","Rhog","7.61538462","26","0","0","0.81184984","false","0","Rhog","18678","0.10379347"
"34962","6","2.93034826","0.12241445","0.34125637","0.31225296","23","8","false","Pik3r3","12.13043478","23","0","0","0.82451379","false","0","Pik3r3","21464","0.14793213"
"34966","6","3.45273632","8.185E-5","0.28962536","0.98484848","12","8","false","F2rl1","16.08333333","12","0","0","0.77702397","false","0","F2rl1","54","0.34963768"
"34968","6","3.32338308","0.00317163","0.3008982","0.77142857","15","7","false","F2r","15.33333333","15","0","0","0.78878336","false","0","F2r","1418","0.30666667"
"34458","6","4.39800995","0.01139409","0.22737557","0.0","3","9","false","Dysf","4.0","3","0","0","0.69109","false","0","Dysf","1686","0.33333333"
"35494","6","3.12437811","0.05841854","0.32006369","0.29090909","11","7","false","Plcg2","7.81818182","11","0","0","0.80687472","false","0","Plcg2","10710","0.17171717"
"39081","6","4.70646766","0.00953095","0.21247357","0.0","4","8","false","Gja5","4.25","4","0","0","0.66304839","false","0","Gja5","3866","0.40625"
"37034","6","4.74626866","0.0","0.21069182","0.0","1","8","false","Cotl1","4.0","1","0","0","0.65943012","false","0","Cotl1","0","0.0"
"34987","6","3.34825871","0.00165806","0.2986627","0.91025641","13","7","false","Tbxa2r","16.0","13","0","0","0.78652194","false","0","Tbxa2r","832","0.33333333"
"37549","6","4.70646766","0.0","0.21247357","0.0","1","9","false","Stard5","7.0","1","0","0","0.66304839","false","0","Stard5","0","0.0"
"34998","6","3.2039801","0.04727888","0.3121118","0.63736264","14","8","false","Kalrn","17.92857143","14","0","0","0.79963817","false","0","Kalrn","12162","0.26759062"
"40634","6","5.18905473","0.0","0.19271333","0.0","1","9","false","Zfp354c","2.0","1","0","0","0.61917684","false","0","Zfp354c","0","0.0"
"33979","6","4.43283582","0.0","0.22558923","1.0","4","7","false","Sphk2","8.5","4","0","0","0.68792402","false","0","Sphk2","0","0.77272727"
"39101","6","4.73631841","1.658E-5","0.21113445","0.66666667","3","9","false","Gmpr","6.33333333","3","0","0","0.66033469","false","0","Gmpr","4","0.57575758"
"38081","6","3.58208955","0.00265417","0.27916667","0.53571429","8","8","false","Pik3r6","14.875","8","0","0","0.76526459","false","0","Pik3r6","1056","0.39144737"
"39108","6","4.39303483","0.0","0.22763307","1.0","2","9","false","Kcnc4","8.5","2","0","0","0.69154229","false","0","Kcnc4","0","0.56666667"
"39621","6","5.74129353","0.0","0.17417678","0.0","1","10","false","Icam4","2.0","1","0","0","0.56897332","false","0","Icam4","0","0.0"
"39111","6","4.039801","0.00785058","0.24753695","0.33333333","3","9","false","Ldhb","9.66666667","3","0","0","0.72365445","false","0","Ldhb","1782","0.37333333"
"39115","6","4.39303483","0.0","0.22763307","1.0","2","9","false","Plekha6","8.5","2","0","0","0.69154229","false","0","Plekha6","0","0.56666667"
"35034","6","3.35323383","0.03783274","0.29821958","0.14285714","7","8","false","Inppl1","7.57142857","7","0","0","0.78606965","false","0","Inppl1","6574","0.19444444"
"35036","6","4.12437811","0.00161172","0.2424608","0.0","2","9","false","Fgd5","5.5","2","0","0","0.71596563","false","0","Fgd5","448","0.75"
